ProfileM	Shape_Leng	ORIG_FID	POINT_X	POINT_Z	POINT_Y
3882.465	227.7089991	1	844822	1365427	286.67
3882.465	227.7089991	1	844823.91	1365426.85	286.72
3882.465	227.7089991	1	844824.87	1365426.77	286.72
3882.465	227.7089991	1	844825.82	1365426.69	286.75
3882.465	227.7089991	1	844826.78	1365426.61	286.75
3882.465	227.7089991	1	844827.73	1365426.54	286.77
3882.465	227.7089991	1	844829.64	1365426.38	286.8
3882.465	227.7089991	1	844830.6	1365426.3	286.82
3882.465	227.7089991	1	844831.55	1365426.23	286.82
3882.465	227.7089991	1	844832.51	1365426.15	286.85
3882.465	227.7089991	1	844833.46	1365426.07	286.87
3882.465	227.7089991	1	844834.42	1365425.99	286.89
3882.465	227.7089991	1	844836.33	1365425.84	286.94
3882.465	227.7089991	1	844837.29	1365425.76	286.97
3882.465	227.7089991	1	844838.24	1365425.68	287
3882.465	227.7089991	1	844840.15	1365425.53	287.05
3882.465	227.7089991	1	844841.5	1365425.42	287.09
3882.465	227.7089991	1	844842.45	1365425.34	287.12
3882.465	227.7089991	1	844843.41	1365425.26	287.15
3882.465	227.7089991	1	844844.37	1365425.19	287.18
3882.465	227.7089991	1	844845.32	1365425.11	287.22
3882.465	227.7089991	1	844846.28	1365425.03	287.26
3882.465	227.7089991	1	844847.23	1365424.95	287.29
3882.465	227.7089991	1	844848.19	1365424.88	287.32
3882.465	227.7089991	1	844849.14	1365424.8	287.36
3882.465	227.7089991	1	844850.1	1365424.72	287.4
3882.465	227.7089991	1	844851.05	1365424.64	287.43
3882.465	227.7089991	1	844852.01	1365424.57	287.47
3882.465	227.7089991	1	844852.96	1365424.49	287.48
3882.465	227.7089991	1	844853.92	1365424.41	287.5
3882.465	227.7089991	1	844854.87	1365424.33	287.53
3882.465	227.7089991	1	844857.74	1365424.1	287.56
3882.465	227.7089991	1	844859.65	1365423.95	287.56
3882.465	227.7089991	1	844861.56	1365423.79	287.52
3882.465	227.7089991	1	844863.47	1365423.64	287.5
3882.465	227.7089991	1	844864.43	1365423.56	287.63
3882.465	227.7089991	1	844867.29	1365423.33	287.63
3882.465	227.7089991	1	844868.25	1365423.25	287.62
3882.465	227.7089991	1	844869.21	1365423.17	287.62
3882.465	227.7089991	1	844871.12	1365423.02	287.6
3882.465	227.7089991	1	844872.07	1365422.94	287.6
3882.465	227.7089991	1	844873.03	1365422.86	287.57
3882.465	227.7089991	1	844873.98	1365422.79	287.55
3882.465	227.7089991	1	844874.94	1365422.71	287.53
3882.465	227.7089991	1	844875.89	1365422.63	287.53
3882.465	227.7089991	1	844876.85	1365422.55	287.51
3882.465	227.7089991	1	844877.8	1365422.48	287.51
3882.465	227.7089991	1	844879.16	1365422.37	287.49
3882.465	227.7089991	1	844880.12	1365422.29	287.47
3882.465	227.7089991	1	844881.07	1365422.21	287.5
3882.465	227.7089991	1	844882.03	1365422.13	287.5
3882.465	227.7089991	1	844882.98	1365422.06	287.49
3882.465	227.7089991	1	844883.94	1365421.98	287.65
3882.465	227.7089991	1	844884.89	1365421.9	287.64
3882.465	227.7089991	1	844886.8	1365421.75	287.64
3882.465	227.7089991	1	844887.76	1365421.67	287.71
3882.465	227.7089991	1	844888.71	1365421.59	287.64
3882.465	227.7089991	1	844890.63	1365421.44	287.66
3882.465	227.7089991	1	844892.54	1365421.28	287.66
3882.465	227.7089991	1	844893.49	1365421.2	287.68
3882.465	227.7089991	1	844894.45	1365421.13	287.89
3882.465	227.7089991	1	844896	1365421	287.89
3882.465	227.7089991	1	844896.36	1365420.96	287.89
3882.465	227.7089991	1	844897.31	1365420.85	287.76
3882.465	227.7089991	1	844898.26	1365420.75	287.87
3882.465	227.7089991	1	844899.21	1365420.64	287.91
3882.465	227.7089991	1	844901.12	1365420.43	287.87
3882.465	227.7089991	1	844902.46	1365420.28	287.78
3882.465	227.7089991	1	844903.42	1365420.18	287.77
3882.465	227.7089991	1	844904.37	1365420.07	287.78
3882.465	227.7089991	1	844905.32	1365419.96	287.8
3882.465	227.7089991	1	844906.27	1365419.86	287.72
3882.465	227.7089991	1	844907.23	1365419.75	287.63
3882.465	227.7089991	1	844908.18	1365419.65	287.54
3882.465	227.7089991	1	844909.13	1365419.54	287.43
3882.465	227.7089991	1	844910.08	1365419.44	287.3
3882.465	227.7089991	1	844911.44	1365419.28	287.16
3882.465	227.7089991	1	844912.39	1365419.18	287
3882.465	227.7089991	1	844913.34	1365419.07	286.82
3882.465	227.7089991	1	844914	1365419	286.76
3882.465	227.7089991	1	844914.3	1365418.97	286.63
3882.465	227.7089991	1	844915.25	1365418.86	286.43
3882.465	227.7089991	1	844916.2	1365418.76	286.28
3882.465	227.7089991	1	844917.15	1365418.65	286.07
3882.465	227.7089991	1	844918.11	1365418.54	285.9
3882.465	227.7089991	1	844919.06	1365418.44	286.7
3882.465	227.7089991	1	844920.4	1365418.29	286.57
3882.465	227.7089991	1	844921.35	1365418.18	286.46
3882.465	227.7089991	1	844922.31	1365418.08	286.34
3882.465	227.7089991	1	844923.26	1365417.97	286.2
3882.465	227.7089991	1	844924.21	1365417.87	286.07
3882.465	227.7089991	1	844925.17	1365417.76	285.93
3882.465	227.7089991	1	844926.12	1365417.65	285.86
3882.465	227.7089991	1	844927.07	1365417.55	286.03
3882.465	227.7089991	1	844928.02	1365417.44	285.87
3882.465	227.7089991	1	844929.38	1365417.29	285.77
3882.465	227.7089991	1	844930.33	1365417.19	285.71
3882.465	227.7089991	1	844931.28	1365417.08	285.61
3882.465	227.7089991	1	844932.23	1365416.97	285.52
3882.465	227.7089991	1	844933.19	1365416.87	285.44
3882.465	227.7089991	1	844934.14	1365416.76	285.36
3882.465	227.7089991	1	844935.09	1365416.66	285.3
3882.465	227.7089991	1	844936.04	1365416.55	285.24
3882.465	227.7089991	1	844937	1365416.44	285.19
3882.465	227.7089991	1	844938.34	1365416.3	285.18
3882.465	227.7089991	1	844939.29	1365416.19	285.28
3882.465	227.7089991	1	844940.25	1365416.08	285.26
3882.465	227.7089991	1	844941	1365416	285.26
3882.465	227.7089991	1	844941.2	1365415.98	285.26
3882.465	227.7089991	1	844942.16	1365415.91	285.29
3882.465	227.7089991	1	844944.07	1365415.77	285.35
3882.465	227.7089991	1	844945.02	1365415.7	285.4
3882.465	227.7089991	1	844945.98	1365415.62	285.46
3882.465	227.7089991	1	844946.93	1365415.55	285.32
3882.465	227.7089991	1	844947.89	1365415.48	285.41
3882.465	227.7089991	1	844949.24	1365415.38	285.51
3882.465	227.7089991	1	844950.19	1365415.31	285.63
3882.465	227.7089991	1	844951.02	1365415.24	285.68
3882.465	227.7089991	1	844951.15	1365415.23	285.75
3882.465	227.7089991	1	844952.1	1365415.16	285.89
3882.465	227.7089991	1	844953.06	1365415.09	286.03
3882.465	227.7089991	1	844954.02	1365415.02	286.18
3882.465	227.7089991	1	844954.97	1365414.95	286.33
3882.465	227.7089991	1	844955.93	1365414.87	286.51
3882.465	227.7089991	1	844956.88	1365414.8	286.68
3882.465	227.7089991	1	844957.84	1365414.73	286.76
3882.465	227.7089991	1	844957.84	1365414.73	286.84
